"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Araripe","00000000230130","CE","Nordeste","BUTANTAN/SINOVAC","3,370","1,712","1,658","0","0","0"
"Araripe","00000000230130","CE","Nordeste","FIOCRUZ/ASTRAZENECA","4,290","2,356","1,934","0","0","0"
"Araripe","00000000230130","CE","Nordeste","JANSSEN","122","0","0","2","120","0"
"Araripe","00000000230130","CE","Nordeste","PFIZER/BIONTECH","4,020","120","159","0","3,741","0"
"Araripina","00000000260110","PE","Nordeste","BUTANTAN/SINOVAC","30,306","16,147","14,147","0","12","0"
"Araripina","00000000260110","PE","Nordeste","FIOCRUZ/ASTRAZENECA","42,590","22,656","17,163","59","2,712","0"
"Araripina","00000000260110","PE","Nordeste","JANSSEN","1,530","0","0","70","977","483"
"Araripina","00000000260110","PE","Nordeste","PFIZER/BIONTECH","58,804","26,323","19,749","493","12,239","0"
"Araruama","00000000330020","RJ","Sudeste","BUTANTAN/SINOVAC","56,487","28,453","25,830","3","2,201","0"
"Araruama","00000000330020","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","85,424","45,016","40,028","3","377","0"
"Araruama","00000000330020","RJ","Sudeste","JANSSEN","3,131","0","0","0","9","3,122"
"Araruama","00000000330020","RJ","Sudeste","PFIZER/BIONTECH","75,558","36,089","29,125","26","10,318","0"
"Araruna","00000000250100","PB","Nordeste","BUTANTAN/SINOVAC","6,039","3,209","2,830","0","0","0"
"Araruna","00000000250100","PB","Nordeste","FIOCRUZ/ASTRAZENECA","9,584","4,968","4,393","0","223","0"
"Araruna","00000000250100","PB","Nordeste","JANSSEN","507","0","0","8","188","311"
"Araruna","00000000250100","PB","Nordeste","PFIZER/BIONTECH","12,839","5,099","3,939","0","3,801","0"
"Araruna","00000000410170","PR","Sul","BUTANTAN/SINOVAC","5,401","2,948","2,449","2","2","0"
"Araruna","00000000410170","PR","Sul","FIOCRUZ/ASTRAZENECA","9,476","4,785","4,552","0","139","0"
"Araruna","00000000410170","PR","Sul","JANSSEN","584","0","0","76","160","348"
"Araruna","00000000410170","PR","Sul","PFIZER/BIONTECH","11,542","4,502","3,533","733","2,774","0"
"Arataca","00000000290225","BA","Nordeste","BUTANTAN/SINOVAC","2,015","1,112","903","0","0","0"
"Arataca","00000000290225","BA","Nordeste","FIOCRUZ/ASTRAZENECA","4,691","2,722","1,909","35","25","0"
"Arataca","00000000290225","BA","Nordeste","JANSSEN","146","0","0","6","0","140"
"Arataca","00000000290225","BA","Nordeste","PFIZER/BIONTECH","3,268","1,785","719","406","358","0"
"Aratiba","00000000430090","RS","Sul","BUTANTAN/SINOVAC","3,624","1,867","1,754","0","3","0"
"Aratiba","00000000430090","RS","Sul","FIOCRUZ/ASTRAZENECA","4,457","2,231","2,223","0","3","0"
"Aratiba","00000000430090","RS","Sul","JANSSEN","161","0","0","0","16","145"
"Aratiba","00000000430090","RS","Sul","PFIZER/BIONTECH","6,023","1,517","1,425","30","3,051","0"
"Aratuba","00000000230140","CE","Nordeste","BUTANTAN/SINOVAC","7,666","4,050","3,614","1","1","0"
"Aratuba","00000000230140","CE","Nordeste","FIOCRUZ/ASTRAZENECA","5,580","2,859","2,685","0","36","0"
