"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Bandeirante","00000000420208","SC","Sul","FIOCRUZ/ASTRAZENECA","1,713","854","855","1","3","0"
"Bandeirante","00000000420208","SC","Sul","JANSSEN","144","0","0","0","64","80"
"Bandeirante","00000000420208","SC","Sul","PFIZER/BIONTECH","3,270","1,240","1,093","7","930","0"
"Bandeirantes","00000000410240","PR","Sul","BUTANTAN/SINOVAC","12,524","6,483","6,040","0","1","0"
"Bandeirantes","00000000410240","PR","Sul","FIOCRUZ/ASTRAZENECA","19,561","9,758","9,514","0","289","0"
"Bandeirantes","00000000410240","PR","Sul","JANSSEN","1,329","0","0","0","509","820"
"Bandeirantes","00000000410240","PR","Sul","PFIZER/BIONTECH","28,073","10,527","8,569","133","8,844","0"
"Bandeirantes","00000000500150","MS","Centro-Oeste","BUTANTAN/SINOVAC","3,518","1,995","1,519","0","4","0"
"Bandeirantes","00000000500150","MS","Centro-Oeste","FIOCRUZ/ASTRAZENECA","3,922","2,093","1,827","0","2","0"
"Bandeirantes","00000000500150","MS","Centro-Oeste","JANSSEN","539","0","0","0","195","344"
"Bandeirantes","00000000500150","MS","Centro-Oeste","PFIZER/BIONTECH","5,748","2,033","1,494","36","2,185","0"
"Bandeirantes Do Tocantins","00000000170305","TO","Norte","BUTANTAN/SINOVAC","679","360","318","0","1","0"
"Bandeirantes Do Tocantins","00000000170305","TO","Norte","FIOCRUZ/ASTRAZENECA","2,608","1,409","1,199","0","0","0"
"Bandeirantes Do Tocantins","00000000170305","TO","Norte","JANSSEN","63","0","0","0","17","46"
"Bandeirantes Do Tocantins","00000000170305","TO","Norte","PFIZER/BIONTECH","1,272","562","400","0","310","0"
"Bannach","00000000150125","PA","Norte","BUTANTAN/SINOVAC","1,197","665","530","1","0","1"
"Bannach","00000000150125","PA","Norte","FIOCRUZ/ASTRAZENECA","2,099","1,136","963","0","0","0"
"Bannach","00000000150125","PA","Norte","JANSSEN","295","0","0","2","3","290"
"Bannach","00000000150125","PA","Norte","PFIZER/BIONTECH","588","275","128","71","114","0"
"Banzaê","00000000290265","BA","Nordeste","BUTANTAN/SINOVAC","6,545","3,354","3,188","0","3","0"
"Banzaê","00000000290265","BA","Nordeste","FIOCRUZ/ASTRAZENECA","7,330","3,670","3,445","0","215","0"
"Banzaê","00000000290265","BA","Nordeste","JANSSEN","179","0","0","0","103","76"
"Banzaê","00000000290265","BA","Nordeste","PFIZER/BIONTECH","9,537","3,432","2,502","0","3,603","0"
"Barão","00000000430165","RS","Sul","BUTANTAN/SINOVAC","3,012","1,578","1,418","0","16","0"
"Barão","00000000430165","RS","Sul","FIOCRUZ/ASTRAZENECA","3,348","1,695","1,653","0","0","0"
"Barão","00000000430165","RS","Sul","JANSSEN","314","0","0","0","139","175"
"Barão","00000000430165","RS","Sul","PFIZER/BIONTECH","5,082","1,727","1,285","0","2,070","0"
"Barão De Antonina","00000000350500","SP","Sudeste","BUTANTAN/SINOVAC","2,494","1,158","1,129","12","195","0"
"Barão De Antonina","00000000350500","SP","Sudeste","FIOCRUZ/ASTRAZENECA","2,374","1,156","1,190","0","28","0"
"Barão De Antonina","00000000350500","SP","Sudeste","JANSSEN","70","0","0","0","25","45"
"Barão De Antonina","00000000350500","SP","Sudeste","PFIZER/BIONTECH","2,778","821","847","14","1,096","0"
"Barão De Cocais","00000000310540","MG","Sudeste","BUTANTAN/SINOVAC","11,479","6,187","5,292","0","0","0"
"Barão De Cocais","00000000310540","MG","Sudeste","FIOCRUZ/ASTRAZENECA","18,573","9,675","8,887","0","11","0"
"Barão De Cocais","00000000310540","MG","Sudeste","JANSSEN","1,156","0","0","0","151","1,005"
"Barão De Cocais","00000000310540","MG","Sudeste","PFIZER/BIONTECH","20,160","9,626","6,904","1,081","2,549","0"
"Barão De Cotegipe","00000000430170","RS","Sul","BUTANTAN/SINOVAC","2,940","1,530","1,409","0","1","0"
"Barão De Cotegipe","00000000430170","RS","Sul","FIOCRUZ/ASTRAZENECA","3,935","1,949","1,938","0","48","0"
"Barão De Cotegipe","00000000430170","RS","Sul","JANSSEN","333","0","0","0","163","170"
"Barão De Cotegipe","00000000430170","RS","Sul","PFIZER/BIONTECH","6,867","2,261","2,008","13","2,585","0"
"Barão De Grajaú","00000000210150","MA","Nordeste","BUTANTAN/SINOVAC","9,655","5,210","4,443","1","1","0"
"Barão De Grajaú","00000000210150","MA","Nordeste","FIOCRUZ/ASTRAZENECA","9,652","4,949","4,074","0","629","0"
"Barão De Grajaú","00000000210150","MA","Nordeste","JANSSEN","235","0","0","0","65","170"
"Barão De Grajaú","00000000210150","MA","Nordeste","PFIZER/BIONTECH","9,322","4,242","3,279","2","1,799","0"
"Barão De Melgaço","00000000510160","MT","Centro-Oeste","BUTANTAN/SINOVAC","2,217","1,161","1,056","0","0","0"
"Barão De Melgaço","00000000510160","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","6,403","3,391","2,836","0","176","0"
"Barão De Melgaço","00000000510160","MT","Centro-Oeste","JANSSEN","326","0","0","2","125","199"
"Barão De Melgaço","00000000510160","MT","Centro-Oeste","PFIZER/BIONTECH","3,677","1,191","745","2","1,739","0"
"Barão De Monte Alto","00000000310550","MG","Sudeste","BUTANTAN/SINOVAC","2,343","1,199","1,144","0","0","0"
"Barão De Monte Alto","00000000310550","MG","Sudeste","FIOCRUZ/ASTRAZENECA","3,831","1,940","1,881","1","9","0"
"Barão De Monte Alto","00000000310550","MG","Sudeste","JANSSEN","130","0","0","0","50","80"
"Barão De Monte Alto","00000000310550","MG","Sudeste","PFIZER/BIONTECH","4,204","1,350","1,190","9","1,655","0"
"Barão Do Triunfo","00000000430175","RS","Sul","BUTANTAN/SINOVAC","2,088","1,031","940","0","117","0"
"Barão Do Triunfo","00000000430175","RS","Sul","FIOCRUZ/ASTRAZENECA","4,212","2,124","2,021","0","67","0"
"Barão Do Triunfo","00000000430175","RS","Sul","JANSSEN","266","0","0","0","89","177"
"Barão Do Triunfo","00000000430175","RS","Sul","PFIZER/BIONTECH","5,050","1,835","1,458","0","1,757","0"
"Baraúna","00000000240145","RN","Nordeste","BUTANTAN/SINOVAC","10,510","5,700","4,800","6","4","0"
"Baraúna","00000000240145","RN","Nordeste","FIOCRUZ/ASTRAZENECA","12,053","5,913","5,843","17","280","0"
"Baraúna","00000000240145","RN","Nordeste","JANSSEN","1,116","4","0","0","559","553"
"Baraúna","00000000240145","RN","Nordeste","PFIZER/BIONTECH","20,165","8,840","6,643","927","3,755","0"
"Baraúna","00000000250153","PB","Nordeste","BUTANTAN/SINOVAC","2,475","1,300","1,175","0","0","0"
"Baraúna","00000000250153","PB","Nordeste","FIOCRUZ/ASTRAZENECA","2,429","1,122","1,098","0","209","0"
"Baraúna","00000000250153","PB","Nordeste","JANSSEN","156","0","0","0","66","90"
"Baraúna","00000000250153","PB","Nordeste","PFIZER/BIONTECH","3,619","1,604","1,157","1","857","0"
"Barbacena","00000000310560","MG","Sudeste","BUTANTAN/SINOVAC","56,809","29,594","27,153","16","46","0"
"Barbacena","00000000310560","MG","Sudeste","FIOCRUZ/ASTRAZENECA","87,512","44,291","43,011","6","204","0"
"Barbacena","00000000310560","MG","Sudeste","JANSSEN","5,142","0","0","409","1,672","3,061"
"Barbacena","00000000310560","MG","Sudeste","PFIZER/BIONTECH","102,604","38,230","28,273","8,349","27,752","0"
"Barbalha","00000000230190","CE","Nordeste","BUTANTAN/SINOVAC","12,714","6,729","5,984","0","1","0"
"Barbalha","00000000230190","CE","Nordeste","FIOCRUZ/ASTRAZENECA","5,255","3,016","2,178","1","60","0"
"Barbalha","00000000230190","CE","Nordeste","JANSSEN","246","0","0","0","246","0"
"Barbalha","00000000230190","CE","Nordeste","PFIZER/BIONTECH","6,194","171","95","28","5,900","0"
"Barbosa","00000000350510","SP","Sudeste","BUTANTAN/SINOVAC","4,145","1,831","1,759","7","548","0"
"Barbosa","00000000350510","SP","Sudeste","FIOCRUZ/ASTRAZENECA","4,621","2,211","2,286","1","123","0"
"Barbosa","00000000350510","SP","Sudeste","JANSSEN","165","0","0","0","44","121"
"Barbosa","00000000350510","SP","Sudeste","PFIZER/BIONTECH","3,826","1,516","1,134","20","1,156","0"
"Barbosa Ferraz","00000000410250","PR","Sul","BUTANTAN/SINOVAC","4,267","2,311","1,956","0","0","0"
"Barbosa Ferraz","00000000410250","PR","Sul","FIOCRUZ/ASTRAZENECA","7,814","4,232","3,582","0","0","0"
"Barbosa Ferraz","00000000410250","PR","Sul","JANSSEN","174","0","0","0","39","135"
"Barbosa Ferraz","00000000410250","PR","Sul","PFIZER/BIONTECH","4,211","2,307","1,334","0","570","0"
"Barcarena","00000000150130","PA","Norte","BUTANTAN/SINOVAC","31,675","17,559","14,074","1","41","0"
"Barcarena","00000000150130","PA","Norte","FIOCRUZ/ASTRAZENECA","81,215","42,692","36,934","4","1,585","0"
"Barcarena","00000000150130","PA","Norte","JANSSEN","8,291","0","0","781","1,516","5,994"
"Barcarena","00000000150130","PA","Norte","PFIZER/BIONTECH","68,815","32,372","22,306","41","14,096","0"
"Barcelona","00000000240150","RN","Nordeste","BUTANTAN/SINOVAC","2,099","1,129","968","0","2","0"
"Barcelona","00000000240150","RN","Nordeste","FIOCRUZ/ASTRAZENECA","2,120","1,143","974","3","0","0"
"Barcelona","00000000240150","RN","Nordeste","JANSSEN","112","0","0","0","35","77"
"Barcelona","00000000240150","RN","Nordeste","PFIZER/BIONTECH","3,004","1,009","954","111","930","0"
"Barcelos","00000000130040","AM","Norte","BUTANTAN/SINOVAC","9,892","5,421","4,460","0","11","0"
"Barcelos","00000000130040","AM","Norte","FIOCRUZ/ASTRAZENECA","8,378","4,212","2,862","0","1,304","0"
"Barcelos","00000000130040","AM","Norte","JANSSEN","255","0","0","0","17","238"
"Barcelos","00000000130040","AM","Norte","PFIZER/BIONTECH","2,643","1,431","635","0","577","0"
"Bariri","00000000350520","SP","Sudeste","BUTANTAN/SINOVAC","21,808","9,999","9,529","10","2,270","0"
"Bariri","00000000350520","SP","Sudeste","FIOCRUZ/ASTRAZENECA","20,214","9,882","10,162","1","169","0"
"Bariri","00000000350520","SP","Sudeste","JANSSEN","1,397","0","0","0","528","869"
"Bariri","00000000350520","SP","Sudeste","PFIZER/BIONTECH","19,740","6,766","5,880","28","7,066","0"
"Barra","00000000290270","BA","Nordeste","BUTANTAN/SINOVAC","16,577","9,475","7,097","0","5","0"
"Barra","00000000290270","BA","Nordeste","FIOCRUZ/ASTRAZENECA","23,890","13,279","10,538","1","72","0"
"Barra","00000000290270","BA","Nordeste","JANSSEN","649","0","0","34","50","565"
"Barra","00000000290270","BA","Nordeste","PFIZER/BIONTECH","27,418","14,905","8,231","191","4,091","0"
"Barra Bonita","00000000350530","SP","Sudeste","BUTANTAN/SINOVAC","23,693","11,092","10,901","2","1,698","0"
"Barra Bonita","00000000350530","SP","Sudeste","FIOCRUZ/ASTRAZENECA","26,582","12,088","14,365","0","129","0"
"Barra Bonita","00000000350530","SP","Sudeste","JANSSEN","1,510","0","0","0","538","972"
"Barra Bonita","00000000350530","SP","Sudeste","PFIZER/BIONTECH","26,969","7,377","6,975","37","12,580","0"
"Barra Bonita","00000000420209","SC","Sul","BUTANTAN/SINOVAC","781","394","387","0","0","0"
"Barra Bonita","00000000420209","SC","Sul","FIOCRUZ/ASTRAZENECA","1,339","672","665","2","0","0"
"Barra Bonita","00000000420209","SC","Sul","JANSSEN","119","0","0","0","64","55"
"Barra Bonita","00000000420209","SC","Sul","PFIZER/BIONTECH","1,766","511","358","12","885","0"
"Barra D'Alcântara","00000000220117","PI","Nordeste","BUTANTAN/SINOVAC","1,748","976","772","0","0","0"
"Barra D'Alcântara","00000000220117","PI","Nordeste","FIOCRUZ/ASTRAZENECA","2,260","1,065","1,039","0","156","0"
"Barra D'Alcântara","00000000220117","PI","Nordeste","JANSSEN","197","0","0","1","126","70"
"Barra D'Alcântara","00000000220117","PI","Nordeste","PFIZER/BIONTECH","3,130","1,261","1,023","1","845","0"
"Barra Da Estiva","00000000290280","BA","Nordeste","BUTANTAN/SINOVAC","13,148","6,856","6,287","1","4","0"
"Barra Da Estiva","00000000290280","BA","Nordeste","FIOCRUZ/ASTRAZENECA","10,557","5,498","5,058","0","1","0"
"Barra Da Estiva","00000000290280","BA","Nordeste","JANSSEN","308","0","0","56","21","231"
"Barra Da Estiva","00000000290280","BA","Nordeste","PFIZER/BIONTECH","15,865","7,506","5,323","0","3,036","0"
"Barra De Guabiraba","00000000260130","PE","Nordeste","BUTANTAN/SINOVAC","4,096","2,298","1,795","0","3","0"
"Barra De Guabiraba","00000000260130","PE","Nordeste","FIOCRUZ/ASTRAZENECA","5,253","2,912","2,339","0","2","0"
"Barra De Guabiraba","00000000260130","PE","Nordeste","JANSSEN","159","0","0","0","37","122"
"Barra De Guabiraba","00000000260130","PE","Nordeste","PFIZER/BIONTECH","9,214","3,742","2,887","11","2,574","0"
"Barra De Santa Rosa","00000000250160","PB","Nordeste","BUTANTAN/SINOVAC","5,291","2,755","2,527","0","9","0"
"Barra De Santa Rosa","00000000250160","PB","Nordeste","FIOCRUZ/ASTRAZENECA","7,756","3,995","3,759","0","2","0"
"Barra De Santa Rosa","00000000250160","PB","Nordeste","JANSSEN","448","0","0","188","5","255"
"Barra De Santa Rosa","00000000250160","PB","Nordeste","PFIZER/BIONTECH","9,906","3,918","3,147","4","2,837","0"
"Barra De Santana","00000000250157","PB","Nordeste","BUTANTAN/SINOVAC","3,628","1,841","1,787","0","0","0"
"Barra De Santana","00000000250157","PB","Nordeste","FIOCRUZ/ASTRAZENECA","4,383","2,248","2,123","1","11","0"
"Barra De Santana","00000000250157","PB","Nordeste","JANSSEN","219","0","0","0","60","159"
"Barra De Santana","00000000250157","PB","Nordeste","PFIZER/BIONTECH","6,420","2,562","1,789","6","2,063","0"
"Barra De Santo Antônio","00000000270050","AL","Nordeste","BUTANTAN/SINOVAC","6,439","3,455","2,983","0","1","0"
"Barra De Santo Antônio","00000000270050","AL","Nordeste","FIOCRUZ/ASTRAZENECA","8,387","4,677","3,708","1","1","0"
"Barra De Santo Antônio","00000000270050","AL","Nordeste","JANSSEN","1,627","0","0","0","292","1,335"
"Barra De Santo Antônio","00000000270050","AL","Nordeste","PFIZER/BIONTECH","4,019","1,715","710","0","1,594","0"
"Barra De São Francisco","00000000320090","ES","Sudeste","BUTANTAN/SINOVAC","17,961","10,132","7,820","2","7","0"
"Barra De São Francisco","00000000320090","ES","Sudeste","FIOCRUZ/ASTRAZENECA","27,826","15,699","11,891","13","223","0"
"Barra De São Francisco","00000000320090","ES","Sudeste","JANSSEN","2,237","2","0","0","720","1,515"
"Barra De São Francisco","00000000320090","ES","Sudeste","PFIZER/BIONTECH","31,061","10,922","9,331","1,116","9,692","0"
"Barra De São Miguel","00000000250170","PB","Nordeste","BUTANTAN/SINOVAC","2,980","1,564","1,415","0","1","0"
"Barra De São Miguel","00000000250170","PB","Nordeste","FIOCRUZ/ASTRAZENECA","2,934","1,500","1,434","0","0","0"
"Barra De São Miguel","00000000250170","PB","Nordeste","JANSSEN","175","0","0","60","15","100"
"Barra De São Miguel","00000000250170","PB","Nordeste","PFIZER/BIONTECH","4,688","1,895","1,397","23","1,373","0"
"Barra De São Miguel","00000000270060","AL","Nordeste","BUTANTAN/SINOVAC","5,122","2,954","2,168","0","0","0"
"Barra De São Miguel","00000000270060","AL","Nordeste","FIOCRUZ/ASTRAZENECA","5,468","2,880","2,588","0","0","0"
"Barra De São Miguel","00000000270060","AL","Nordeste","JANSSEN","111","0","0","3","38","70"
"Barra De São Miguel","00000000270060","AL","Nordeste","PFIZER/BIONTECH","2,433","687","455","84","1,207","0"
"Barra Do Bugres","00000000510170","MT","Centro-Oeste","BUTANTAN/SINOVAC","6,103","3,677","2,415","7","4","0"
"Barra Do Bugres","00000000510170","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","27,830","14,567","13,215","27","21","0"
"Barra Do Bugres","00000000510170","MT","Centro-Oeste","JANSSEN","923","0","0","4","349","570"
"Barra Do Bugres","00000000510170","MT","Centro-Oeste","PFIZER/BIONTECH","18,951","6,641","4,513","110","7,687","0"
"Barra Do Chapéu","00000000350535","SP","Sudeste","BUTANTAN/SINOVAC","3,510","1,763","1,632","14","101","0"
"Barra Do Chapéu","00000000350535","SP","Sudeste","FIOCRUZ/ASTRAZENECA","3,169","1,552","1,606","0","11","0"
"Barra Do Chapéu","00000000350535","SP","Sudeste","JANSSEN","175","0","0","0","62","113"
"Barra Do Chapéu","00000000350535","SP","Sudeste","PFIZER/BIONTECH","3,871","1,337","1,280","2","1,252","0"
"Barra Do Choça","00000000290290","BA","Nordeste","BUTANTAN/SINOVAC","7,362","5,217","2,145","0","0","0"
"Barra Do Choça","00000000290290","BA","Nordeste","FIOCRUZ/ASTRAZENECA","7,414","5,453","1,961","0","0","0"
"Barra Do Choça","00000000290290","BA","Nordeste","JANSSEN","375","0","0","0","16","359"
"Barra Do Choça","00000000290290","BA","Nordeste","PFIZER/BIONTECH","7,167","5,806","1,292","0","69","0"
"Barra Do Corda","00000000210160","MA","Nordeste","BUTANTAN/SINOVAC","26,046","13,730","12,304","2","10","0"
"Barra Do Corda","00000000210160","MA","Nordeste","FIOCRUZ/ASTRAZENECA","36,028","20,363","15,554","15","96","0"
"Barra Do Corda","00000000210160","MA","Nordeste","JANSSEN","1,257","0","0","105","331","821"
"Barra Do Corda","00000000210160","MA","Nordeste","PFIZER/BIONTECH","50,161","22,294","16,345","2,136","9,386","0"
"Barra Do Garças","00000000510180","MT","Centro-Oeste","BUTANTAN/SINOVAC","21,594","11,162","10,425","0","7","0"
"Barra Do Garças","00000000510180","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","43,239","23,117","19,802","5","315","0"
"Barra Do Garças","00000000510180","MT","Centro-Oeste","JANSSEN","2,697","0","0","786","32","1,879"
"Barra Do Garças","00000000510180","MT","Centro-Oeste","PFIZER/BIONTECH","42,714","16,512","14,182","247","11,773","0"
"Barra Do Guarita","00000000430185","RS","Sul","BUTANTAN/SINOVAC","1,465","765","700","0","0","0"
"Barra Do Guarita","00000000430185","RS","Sul","FIOCRUZ/ASTRAZENECA","2,006","1,025","981","0","0","0"
"Barra Do Guarita","00000000430185","RS","Sul","JANSSEN","157","0","0","0","67","90"
"Barra Do Guarita","00000000430185","RS","Sul","PFIZER/BIONTECH","2,255","722","638","24","871","0"
"Barra Do Jacaré","00000000410270","PR","Sul","BUTANTAN/SINOVAC","1,323","665","658","0","0","0"
"Barra Do Jacaré","00000000410270","PR","Sul","FIOCRUZ/ASTRAZENECA","2,922","1,443","1,337","0","142","0"
"Barra Do Jacaré","00000000410270","PR","Sul","JANSSEN","108","0","0","0","61","47"
"Barra Do Jacaré","00000000410270","PR","Sul","PFIZER/BIONTECH","1,580","489","311","9","771","0"
"Barra Do Mendes","00000000290300","BA","Nordeste","BUTANTAN/SINOVAC","6,869","3,597","3,271","0","1","0"
"Barra Do Mendes","00000000290300","BA","Nordeste","FIOCRUZ/ASTRAZENECA","9,347","4,483","4,254","3","607","0"
"Barra Do Mendes","00000000290300","BA","Nordeste","JANSSEN","176","0","0","0","89","87"
"Barra Do Mendes","00000000290300","BA","Nordeste","PFIZER/BIONTECH","11,971","4,171","3,087","6","4,707","0"
"Barra Do Ouro","00000000170307","TO","Norte","BUTANTAN/SINOVAC","1,592","828","763","1","0","0"
"Barra Do Ouro","00000000170307","TO","Norte","FIOCRUZ/ASTRAZENECA","2,002","1,000","936","0","66","0"
"Barra Do Ouro","00000000170307","TO","Norte","JANSSEN","81","0","0","0","27","54"
"Barra Do Ouro","00000000170307","TO","Norte","PFIZER/BIONTECH","1,984","1,076","582","0","326","0"
"Barra Do Piraí","00000000330030","RJ","Sudeste","BUTANTAN/SINOVAC","30,654","16,404","14,244","0","6","0"
"Barra Do Piraí","00000000330030","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","42,291","22,685","18,535","4","1,067","0"
"Barra Do Piraí","00000000330030","RJ","Sudeste","JANSSEN","2,368","0","0","3","168","2,197"
"Barra Do Piraí","00000000330030","RJ","Sudeste","PFIZER/BIONTECH","45,127","24,301","14,102","269","6,455","0"
"Barra Do Quaraí","00000000430187","RS","Sul","BUTANTAN/SINOVAC","1,003","532","471","0","0","0"
"Barra Do Quaraí","00000000430187","RS","Sul","FIOCRUZ/ASTRAZENECA","3,332","1,823","1,505","0","4","0"
"Barra Do Quaraí","00000000430187","RS","Sul","JANSSEN","145","0","0","1","26","118"
"Barra Do Quaraí","00000000430187","RS","Sul","PFIZER/BIONTECH","2,298","722","534","1","1,041","0"
"Barra Do Ribeiro","00000000430190","RS","Sul","BUTANTAN/SINOVAC","10,147","5,275","4,871","0","1","0"
"Barra Do Ribeiro","00000000430190","RS","Sul","FIOCRUZ/ASTRAZENECA","8,650","4,254","4,134","1","261","0"
"Barra Do Ribeiro","00000000430190","RS","Sul","JANSSEN","540","0","0","5","243","292"
"Barra Do Ribeiro","00000000430190","RS","Sul","PFIZER/BIONTECH","13,038","4,142","3,198","50","5,648","0"
"Barra Do Rio Azul","00000000430192","RS","Sul","BUTANTAN/SINOVAC","1,176","522","654","0","0","0"
"Barra Do Rio Azul","00000000430192","RS","Sul","FIOCRUZ/ASTRAZENECA","1,479","794","685","0","0","0"
"Barra Do Rio Azul","00000000430192","RS","Sul","JANSSEN","85","0","0","0","39","46"
"Barra Do Rio Azul","00000000430192","RS","Sul","PFIZER/BIONTECH","1,618","425","356","4","833","0"
"Barra Do Rocha","00000000290310","BA","Nordeste","BUTANTAN/SINOVAC","1,506","815","691","0","0","0"
"Barra Do Rocha","00000000290310","BA","Nordeste","FIOCRUZ/ASTRAZENECA","2,813","1,502","1,268","0","43","0"
"Barra Do Rocha","00000000290310","BA","Nordeste","JANSSEN","59","0","0","0","1","58"
"Barra Do Rocha","00000000290310","BA","Nordeste","PFIZER/BIONTECH","2,756","1,572","790","0","394","0"
"Barra Do Turvo","00000000350540","SP","Sudeste","BUTANTAN/SINOVAC","5,182","2,479","2,443","0","260","0"
"Barra Do Turvo","00000000350540","SP","Sudeste","FIOCRUZ/ASTRAZENECA","5,374","2,737","2,492","0","145","0"
"Barra Do Turvo","00000000350540","SP","Sudeste","JANSSEN","126","0","0","1","23","102"
"Barra Do Turvo","00000000350540","SP","Sudeste","PFIZER/BIONTECH","2,983","1,205","757","1","1,020","0"
"Barra Dos Coqueiros","00000000280060","SE","Nordeste","BUTANTAN/SINOVAC","8,545","4,549","3,996","0","0","0"
"Barra Dos Coqueiros","00000000280060","SE","Nordeste","FIOCRUZ/ASTRAZENECA","16,183","8,472","7,707","1","3","0"
"Barra Dos Coqueiros","00000000280060","SE","Nordeste","JANSSEN","1,135","0","0","49","347","739"
"Barra Dos Coqueiros","00000000280060","SE","Nordeste","PFIZER/BIONTECH","22,920","11,387","7,606","3","3,924","0"
"Barra Funda","00000000430195","RS","Sul","BUTANTAN/SINOVAC","1,065","553","512","0","0","0"
"Barra Funda","00000000430195","RS","Sul","FIOCRUZ/ASTRAZENECA","1,594","799","795","0","0","0"
"Barra Funda","00000000430195","RS","Sul","JANSSEN","71","0","0","0","6","65"
"Barra Funda","00000000430195","RS","Sul","PFIZER/BIONTECH","2,773","823","756","13","1,181","0"
"Barra Longa","00000000310570","MG","Sudeste","BUTANTAN/SINOVAC","3,434","1,749","1,685","0","0","0"
"Barra Longa","00000000310570","MG","Sudeste","FIOCRUZ/ASTRAZENECA","3,571","1,819","1,752","0","0","0"
"Barra Longa","00000000310570","MG","Sudeste","JANSSEN","172","0","0","0","55","117"
"Barra Longa","00000000310570","MG","Sudeste","PFIZER/BIONTECH","4,697","1,468","1,271","16","1,942","0"
"Barra Mansa","00000000330040","RJ","Sudeste","BUTANTAN/SINOVAC","67,679","37,151","30,418","38","72","0"
"Barra Mansa","00000000330040","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","76,991","43,402","32,688","37","864","0"
"Barra Mansa","00000000330040","RJ","Sudeste","JANSSEN","4,886","0","0","309","786","3,791"
"Barra Mansa","00000000330040","RJ","Sudeste","PFIZER/BIONTECH","93,575","44,179","24,047","3,458","21,891","0"
"Barra Velha","00000000420210","SC","Sul","BUTANTAN/SINOVAC","11,266","5,979","5,287","0","0","0"
"Barra Velha","00000000420210","SC","Sul","FIOCRUZ/ASTRAZENECA","19,751","10,013","9,736","0","2","0"
"Barra Velha","00000000420210","SC","Sul","JANSSEN","1,401","0","0","0","410","991"
"Barra Velha","00000000420210","SC","Sul","PFIZER/BIONTECH","30,233","13,158","9,681","18","7,376","0"
"Barracão","00000000410260","PR","Sul","BUTANTAN/SINOVAC","2,606","1,314","1,292","0","0","0"
"Barracão","00000000410260","PR","Sul","FIOCRUZ/ASTRAZENECA","9,432","4,498","4,282","1","651","0"
"Barracão","00000000410260","PR","Sul","JANSSEN","588","0","0","0","214","374"
"Barracão","00000000410260","PR","Sul","PFIZER/BIONTECH","5,329","2,001","1,568","18","1,742","0"
"Barracão","00000000430180","RS","Sul","BUTANTAN/SINOVAC","1,847","928","919","0","0","0"
"Barracão","00000000430180","RS","Sul","FIOCRUZ/ASTRAZENECA","3,622","1,839","1,783","0","0","0"
"Barracão","00000000430180","RS","Sul","JANSSEN","208","0","0","0","94","114"
"Barracão","00000000430180","RS","Sul","PFIZER/BIONTECH","4,324","1,368","1,163","25","1,768","0"
"Barras","00000000220120","PI","Nordeste","BUTANTAN/SINOVAC","15,514","8,303","7,207","0","4","0"
"Barras","00000000220120","PI","Nordeste","FIOCRUZ/ASTRAZENECA","21,347","11,230","10,106","0","11","0"
"Barras","00000000220120","PI","Nordeste","JANSSEN","666","0","0","0","51","615"
"Barras","00000000220120","PI","Nordeste","PFIZER/BIONTECH","26,257","13,151","9,503","2","3,601","0"
"Barreira","00000000230195","CE","Nordeste","BUTANTAN/SINOVAC","3,721","1,874","1,847","0","0","0"
"Barreira","00000000230195","CE","Nordeste","FIOCRUZ/ASTRAZENECA","2,331","1,182","1,148","0","1","0"
"Barreira","00000000230195","CE","Nordeste","JANSSEN","3","0","0","0","3","0"
"Barreira","00000000230195","CE","Nordeste","PFIZER/BIONTECH","2,235","0","40","0","2,195","0"
"Barreiras","00000000290320","BA","Nordeste","BUTANTAN/SINOVAC","41,431","22,714","18,705","1","11","0"
"Barreiras","00000000290320","BA","Nordeste","FIOCRUZ/ASTRAZENECA","60,294","37,028","22,210","2","1,054","0"
"Barreiras","00000000290320","BA","Nordeste","JANSSEN","1,604","0","0","0","0","1,604"
"Barreiras","00000000290320","BA","Nordeste","PFIZER/BIONTECH","58,119","28,477","12,875","6","16,761","0"
"Barreiras Do Piauí","00000000220130","PI","Nordeste","BUTANTAN/SINOVAC","1,239","682","557","0","0","0"
"Barreiras Do Piauí","00000000220130","PI","Nordeste","FIOCRUZ/ASTRAZENECA","1,573","825","748","0","0","0"
"Barreiras Do Piauí","00000000220130","PI","Nordeste","JANSSEN","102","0","0","0","37","65"
"Barreiras Do Piauí","00000000220130","PI","Nordeste","PFIZER/BIONTECH","2,345","950","799","2","594","0"
"Barreirinha","00000000130050","AM","Norte","BUTANTAN/SINOVAC","9,528","5,041","4,481","4","2","0"
"Barreirinha","00000000130050","AM","Norte","FIOCRUZ/ASTRAZENECA","31,487","14,287","12,147","5,048","5","0"
"Barreirinha","00000000130050","AM","Norte","JANSSEN","624","0","0","65","9","550"
"Barreirinha","00000000130050","AM","Norte","PFIZER/BIONTECH","12,441","4,525","3,025","2,952","1,939","0"
"Barreirinhas","00000000210170","MA","Nordeste","BUTANTAN/SINOVAC","17,307","10,106","7,201","0","0","0"
